a,b,c
303.5,-0.02784853035145877,0.036701895225462994
304.0,-0.02762858127486541,0.03607966923345754
304.5,-0.027411130937175673,0.03547162536327733
305.0,-0.027196139471987735,0.03487736601062674
305.5,-0.026983568211239324,0.03429650627004146
306.0,-0.026773379601478367,0.033728673519571525
306.5,-0.026565537128469815,0.03317350701563944
307.0,-0.02636000524946386,0.03263065749867101
307.5,-0.026156749332075627,0.03209978680914772
308.0,-0.025955735599177344,0.03158056751488007
308.5,-0.025756931079165768,0.03107268254880012
309.0,-0.025560303560989546,0.030575824858132247
309.5,-0.025365821553417774,0.030089697063872985
310.0,-0.025173454248142445,0.029614011131567582
310.5,-0.024983171486254983,0.029148488052178092
311.0,-0.024794943727758822,0.028692857533877656
311.5,-0.024608742023847423,0.028246857703576708
312.0,-0.024424537991543573,0.02781023481892679
312.5,-0.02424230379056261,0.0273827429899563
313.0,-0.0240620121020635,0.02696414391000117
313.5,-0.02388363610923845,0.026554206596576434
314.0,-0.023707149479332272,0.026152707140613452
314.5,-0.02353252634720119,0.025759428464936392
